crawllink,id,level,parentId,pathTitles,productCount,products,title
http://www.okeydostavka.ru/msk/%D1%87%D0%B0%D0%B9--%D0%BA%D0%BE%D1%84%D0%B5--%D0%BA%D0%B0%D0%BA%D0%B0%D0%BE/%D0%BA%D0%BE%D1%84%D0%B5,16604,1,16599,"Чай, кофе, какао|ROOT",170,242498|66415|66405|241468|66403|185753|185756|178969|179505|179502|129689|245501|199666|157157|141215|245295|185567|185569|186826|186829|245291|244968|594754|242417|242424|197358|197353|197362|602209|602210|244758|175261|175257|175255|242416|196772|75186|75178|196770|185755|610414|141214|185556|185568|186820|185748|185747|179501|602208|94878|94880|94882|242418|129698|242448|95018|95021|242426|245496|195201|196776|196778|196774|196767|602204|108601|199664|90884|205591|175923|245510|195200|194987|195391|106652|195393|106643|195380|195133|141209|195385|245467|195387|179227|141316|73499|73492|241561|68326|75187|195394|243983|243984|243982|195389|600234|129700|245456|200540|200538|200537|113720|135607|141212|120945|120953|120943|120951|245243|86681|244267|244268|244264|86690|86689|86675|86682|86684|86688|86680|67122|195302|66406|66407|184509|184513|144817|194978|194985|194982|144799|67128|68322|68314|162135|162138|602342|245471|245461|245472|245460|148851|141216|141197|141196|102889|90820|102902|195358|102893|195355|82064|130695|195351|195113|144814|144819|195381|195417|195436|175955|175956|199674|199669|144812|120939|120938|243162|73500|194986,Кофе
http://www.okeydostavka.ru/msk/%D1%87%D0%B0%D0%B9--%D0%BA%D0%BE%D1%84%D0%B5--%D0%BA%D0%B0%D0%BA%D0%B0%D0%BE/%D1%87%D0%B0%D0%B9-%D0%B7%D0%B5%D0%BB%D0%B5%D0%BD%D1%8B%D0%B9,16605,1,16599,"Чай, кофе, какао|ROOT",41,244928|594620|168848|242439|95242|244266|168487|95045|95046|242441|242437|206670|174981|245863|203612|244257|162142|148663|192290|148665|147110|147114|168395|168424|76976|76972|243726|94947|178864|168856|594618|124905|124854|124857|124853|42564|243723|243724|242423|95040|244925,Чай зеленый
http://www.okeydostavka.ru/msk/%D1%87%D0%B0%D0%B9--%D0%BA%D0%BE%D1%84%D0%B5--%D0%BA%D0%B0%D0%BA%D0%B0%D0%BE/%D1%87%D0%B0%D0%B9-%D1%82%D1%80%D0%B0%D0%B2%D1%8F%D0%BD%D0%BE%D0%B9,16606,1,16599,"Чай, кофе, какао|ROOT",7,245865|95052|242445|242449|95043|245539|148669,Чай травяной
http://www.okeydostavka.ru/msk/%D1%87%D0%B0%D0%B9--%D0%BA%D0%BE%D1%84%D0%B5--%D0%BA%D0%B0%D0%BA%D0%B0%D0%BE/%D1%87%D0%B0%D0%B9-%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9,16607,1,16599,"Чай, кофе, какао|ROOT",99,592893|600241|185539|185540|226803|118330|95028|95035|95044|95048|242433|242434|242442|242443|242436|245892|206666|203608|245800|245798|245852|245871|174975|245872|245870|205608|245851|118335|244258|162151|602630|94886|94883|244265|124251|118311|118301|97550|97554|97747|245866|118296|118290|124907|124855|407495|124852|124860|124870|94946|94978|242425|180781|94900|94884|206655|204523|148671|118299|124242|244411|162144|162149|95051|162147|242451|94891|203616|245793|242551|242553|97754|242553|97754|242554|243084|109013|148662|108802|108804|243918|243921|178847|178848|244926|108805|104068|118294|242564|244412|116938|242563|243725|242560|76960|76973|98233|98232|94975,Чай черный
http://www.okeydostavka.ru/msk/%D1%81%D0%BE%D1%83%D1%81%D1%8B-%D0%B8-%D0%BF%D1%80%D0%B8%D0%BF%D1%80%D0%B0%D0%B2%D1%8B/%D0%B8%D0%BD%D0%B3%D1%80%D0%B5%D0%B4%D0%B8%D0%B5%D0%BD%D1%82%D1%8B-%D0%B4%D0%BB%D1%8F-%D0%B2%D1%8B%D0%BF%D0%B5%D1%87%D0%BA%D0%BC,16600,1,16598,"Растительные масла, соусы и приправы|ROOT",62,104923|107337|104924|90035|243518|502871|616755|616752|616748|93270|201961|90111|59441|153579|120037|185009|244381|90229|107338|90233|90230|184416|120042|185138|104895|80422|90273|90268|94550|108467|107340|120055|185002|80413|185004|90220|107336|80412|104942|182036|601875|602032|193758|186838|104917|104847|104899|104896|145101|145102|90275|182651|185007|244382|104920|182643|185008|167302|614806|174871|104921|183504,Ингредиенты для выпечки
http://www.okeydostavka.ru/msk/%D1%81%D0%BE%D1%83%D1%81%D1%8B-%D0%B8-%D0%BF%D1%80%D0%B8%D0%BF%D1%80%D0%B0%D0%B2%D1%8B/%D0%BA%D0%B5%D1%82%D1%87%D1%83%D0%BF%D1%8B,16601,1,16598,"Растительные масла, соусы и приправы|ROOT",45,173884|245792|245790|245802|204515|245759|204514|204516|245862|84007|84016|245810|84015|204604|204567|84013|245805|204548|105116|601877|204539|204543|204524|114780|204544|204521|138834|139975|243602|139974|140206|242143|242144|38186|32313|35531|243590|78676|78686|182386|84219|84031|242146|138837|138840,Кетчупы
http://www.okeydostavka.ru/msk/%D1%81%D0%BE%D1%83%D1%81%D1%8B-%D0%B8-%D0%BF%D1%80%D0%B8%D0%BF%D1%80%D0%B0%D0%B2%D1%8B/%D0%BC%D0%B0%D0%B9%D0%BE%D0%BD%D0%B5%D0%B7,16602,1,16598,"Растительные масла, соусы и приправы|ROOT",59,602020|244733|245861|245794|245803|245773|381379|428867|594782|527481|564733|421283|327116|140201|478566|140205|524786|533383|326427|583954|590608|533303|474032|243617|594239|574826|594233|594248|470856|594250|594251|386964|305233|323426|594376|413668|409269|386028|313776|601858|400071|427954|249272|498088|601815|601988|92913|110126|520950|578257|93967|245858|245795|396002|243618|594242|93974|594234|505361,Майонез
http://www.okeydostavka.ru/msk/%D1%87%D0%B0%D0%B9--%D0%BA%D0%BE%D1%84%D0%B5--%D0%BA%D0%B0%D0%BA%D0%B0%D0%BE/%D0%BA%D0%B0%D0%BA%D0%B0%D0%BE--%D1%86%D0%B8%D0%BA%D0%BE%D1%80%D0%B8%D0%B9,16603,1,16599,"Чай, кофе, какао|ROOT",27,245896|245895|206696|140000|113732|243821|206702|206671|206692|206682|206674|206678|244895|244899|244060|242576|243751|141222|80104|243752|243747|90272|106647|80100|137319|137315|243749,"Какао, цикорий"
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D0%BA%D0%B0-%D0%B8-%D0%B3%D0%B8%D0%B3%D0%B8%D0%B5%D0%BD%D0%B0/%D0%BA%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D0%BA%D0%B0-%D0%B4%D0%B5%D1%82%D1%81%D0%BA%D0%B0%D1%8F--%D0%BF%D0%BE%D0%B4%D1%80%D0%BE%D1%81%D1%82%D0%BA%D0%BE%D0%B2%D0%B0%D1%8F,16073,1,16068,Косметика и гигиена|ROOT,122,244872|542988|298701|246038|526527|65751|242222|242223|88508|88510|242224|231358|276728|330776|243532|135690|243531|243534|243536|174337|169914|199198|199201|199211|199205|602186|602185|393307|345925|398437|501042|387353|602236|594798|71156|243564|243565|243566|180616|461496|253134|522136|477403|164733|164738|164737|164725|164726|594886|80349|147927|465812|205381|205382|121592|121590|121594|79501|79251|79254|79809|79814|79496|79495|79491|318475|243402|131563|131559|243400|204043|102144|243400|204043|102144|102145|471297|70275|241614|241613|221124|101670|245261|244090|101675|185184|185207|241612|184964|80590|80474|80475|558869|168623|79420|79096|79712|79717|79101|79425|79585|409597|563872|262778|594288|180773|243408|161927|244234|164818|244792|244002|555452|286854|594851|79026|479394|249517|545192|384072|315530|589939,"Косметика детская, подростковая"
http://www.okeydostavka.ru/msk/%D0%BA%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%B8%D0%BA%D0%B0-%D0%B8-%D0%B3%D0%B8%D0%B3%D0%B8%D0%B5%D0%BD%D0%B0/%D0%B4%D0%B5%D0%B7%D0%BE%D0%B4%D0%BE%D1%80%D0%B0%D0%BD%D1%82%D1%8B-%D0%B8-%D0%BF%D0%B0%D1%80%D1%84%D1%8E%D0%BC%D0%B5%D1%80%D0%B8%D1%8F,16072,1,16068,Косметика и гигиена|ROOT,0,,Дезодоранты и парфюмерия
