raw_id,sqn,brand,brand_detected,product_manufacturer,weight,fat,pack,pfqn
61246,сыр мастер бутерброда мааздам ломтик,PRESIDENT,True,Лакталис Истра,150г,40%,,Сыр Мастер Бутерброда 40% Мааздам 150г ломтик Президент
242352,пельмени классические,О'КЕЙ,True,"ООО ""Морозко""",1000г,,,Пельмени ОКЕЙ классические 1000г
116938,чай черный байховый цейлонский в конв,О'КЕЙ,True,,25х2г,,пак.,Чай черный ОКЕЙ байховый цейлонский 25х2г пак. в конв.
198492,макароны 25 ракушки рифл,La Molisana,True,United Distributors Inc.,500г,,,Макароны La Molisana 25 Ракушки рифл. 500г
51612,кета кусок г/к,РОК-1,True,,100г,,,Кета кусок г/к. 100г (РОК-1)
241701,шербет из черной смородины замороженный,О'КЕЙ,True,,80г,,,Шербет ОКЕЙ из черной смородины замороженный 80г
55832,филе цыпленка зам,Ярославский Бройлер,True,"ООО ""Ярославский Бройлер"", Россия",кг,,,Филе цыпленка зам. Ярославский Бройлер. кг
60220,кукуруза сладкая,Bonduelle,True,"ООО ""Кубанские консервы""",340г,,ж/б,Кукуруза сладкая Bonduelle 340г ж/б
78676,кетчуп томатный,Слобода,True,"ОАО ""ЭФКО""",350г,,дой-пак,Кетчуп Слобода томатный 350г дой-пак
288014,напиток сильногаз б/а,Sprite,True,"ООО""Кока-Кола ЭйчБиСи Евразия""",1.5л,,пэт,Напиток Спрайт сильногаз б/а 1.5л ПЭТ
180819,конфитюр к мясу из мюлузского лука,Heritier,True,Belberry Preserves,180г,,ст/б,Конфитюр к мясу Heritier из Мюлузского лука 180г ст/б
121206,плавленый сырный продукт дружба,PL NoName,True,ИП Емелин Владимир Павлович,70г,,,Плавленый сырный продукт Дружба 70г PL FP
185556,кофе молотый paulig presidentti black,Паулиг,,,250г,,,Кофе молотый Paulig  Presidentti Black 250г
76268,вода мин негаз,Сенежская,True,"ООО ""ФКПЧФ Бобимэкс тм""",0.5л,,пэт,Вода Сенежская мин.негаз.0.5л ПЭТ
243590,кетчуп острый,МАКА,,"ООО ""ПК ""МАКА""",400г,,пл/б,Кетчуп Острый 400г пл/б
131569,семечки подсолнечника очищенные,На зубок,True,"ООО ""Интелл""",200г,,,Семечки На зубок подсолнечника очищенные 200г
123784,сельдь филе-кус в масле томилинская,Не Бренд,,,180г,,,"Сельдь филе-кус. в масле, 180г Томилинская"
57784,сыр винцер,Emmi,True,Emmi,кг,,,Сыр Винцер кг Emmi
90597,колбаса докторская классическая в/с,КампоМос,True,"ООО""ПИТ-ПРОДУКТ""",300г,,нарезка,Колбаса Докторская Классическая Кампомос в/с нарезка 300г
527048,напиток апельсин сильногаз б/а,Fanta,True,"ООО""Кока-Кола ЭйчБиСи Евразия""",1л,,пэт,Напиток Фанта Апельсин сильногаз б/а 1л ПЭТ
46711,цыпленок 2 сорта зам,Птица,,,кг,,,"Цыпленок 2 сорта зам., кг"
207957,приправа французские травы мельница,Kotanyi,True,Kotanyi GmbH,33г,,,Приправа Kotanyi Французские травы 33г мельница
76533,мороженое пломбир ванильный с изюмом брикет п/х,Как раньше,True,"ОАО ""Петрохолод""",220г,,,Мороженое Как раньше пломбир ванильный с изюмом брикет 220г П/х
