name,weight,price,crawllink,link,details,id,imgUrl
Вина десертные,,,http://health-diet.ru/base_of_food/sostav/13753.php,,"{""Калорийность Ккал"": ""172"", ""Белки гр."": ""0,5"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""20"", ""Продукт"": ""Вина десертные"", ""top_cat"": ""Алкогольные напитки""}",13753,
Вина крепкие,,,http://health-diet.ru/base_of_food/sostav/13751.php,,"{""Калорийность Ккал"": ""163"", ""Белки гр."": ""0,4"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""12"", ""Продукт"": ""Вина крепкие"", ""top_cat"": ""Алкогольные напитки""}",13751,
Вина ликерные,,,http://health-diet.ru/base_of_food/sostav/13754.php,,"{""Калорийность Ккал"": ""212"", ""Белки гр."": ""0,5"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""30"", ""Продукт"": ""Вина ликерные"", ""top_cat"": ""Алкогольные напитки""}",13754,
Вина полудесертные,,,http://health-diet.ru/base_of_food/sostav/13752.php,,"{""Калорийность Ккал"": ""140"", ""Белки гр."": ""0,4"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""12"", ""Продукт"": ""Вина полудесертные"", ""top_cat"": ""Алкогольные напитки""}",13752,
Вина полусладкие белые и красные (в т. ч. шампанское),,,http://health-diet.ru/base_of_food/sostav/622.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""0,2"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""5"", ""Продукт"": ""Вина полусладкие белые и красные (в т. ч. шампанское)"", ""top_cat"": ""Алкогольные напитки""}",622,
Вина полусухие белые и красные (в т. ч. шампанское),,,http://health-diet.ru/base_of_food/sostav/625.php,,"{""Калорийность Ккал"": ""78"", ""Белки гр."": ""0,3"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""2,5"", ""Продукт"": ""Вина полусухие белые и красные (в т. ч. шампанское)"", ""top_cat"": ""Алкогольные напитки""}",625,
Вина сладкие белые и красные (в т. ч. шампанское),,,http://health-diet.ru/base_of_food/sostav/13750.php,,"{""Калорийность Ккал"": ""100"", ""Белки гр."": ""0,2"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""8"", ""Продукт"": ""Вина сладкие белые и красные (в т. ч. шампанское)"", ""top_cat"": ""Алкогольные напитки""}",13750,
Вина сухие белые и красные (в т. ч. шампанское),,,http://health-diet.ru/base_of_food/sostav/563.php,,"{""Калорийность Ккал"": ""64"", ""Белки гр."": ""0,2"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0,3"", ""Продукт"": ""Вина сухие белые и красные (в т. ч. шампанское)"", ""top_cat"": ""Алкогольные напитки""}",563,
Меланж,,,http://health-diet.ru/base_of_food/sostav/556.php,,"{""Калорийность Ккал"": ""157"", ""Белки гр."": ""12,7"", ""Жиры гр."": ""11,5"", ""Углеводы гр."": ""0,7"", ""Продукт"": ""Меланж"", ""top_cat"": ""Яйца и продукты из них""}",556,
Баранки простые,,,http://health-diet.ru/base_of_food/sostav/13654.php,,"{""Калорийность Ккал"": ""311"", ""Белки гр."": ""10,4"", ""Жиры гр."": ""1,3"", ""Углеводы гр."": ""64,2"", ""Продукт"": ""Баранки простые"", ""top_cat"": ""Хлеб и хлебобулочные изделия""}",13654,
