raw_id,sqn,brand,brand_detected,product_manufacturer,weight,fat,pack,pfqn,tags,types
61246,сыр мастер бутерброда мааздам ломтик,PRESIDENT,True,Лакталис Истра,150г,40%,,Сыр Мастер Бутерброда 40% Мааздам 150г ломтик Президент,"Молочные продукты, сыры, яйцо|Плавленные, копченые, колбасные сыры|Сыры",сыр|сыр + бутерброда|сыр + бутерброда + ломтик|сыр + ломтик|сыр + мааздам|сыр + мастер|сыр + мастер + бутерброда|сыр + мастер + ломтик|сырки|сырная|сырные|сырный|сырок
242352,пельмени классические,О'КЕЙ,True,"ООО ""Морозко""",1000г,,,Пельмени ОКЕЙ классические 1000г,"Замороженные продукты|Пельмени, вареники, хинкали|Полуфабрикаты замороженные",пельмени|пельмени + классические
116938,чай черный байховый цейлонский в конв,О'КЕЙ,True,None,25х2г,,пак.,Чай черный ОКЕЙ байховый цейлонский 25х2г пак. в конв.,"Чай черный|Чай, кофе, какао",чай|чай + байховый|чай + байховый + в конв|чай + байховый + конв|чай + в конв|чай + конв|чай + цейлонский|чай + черный|чай + черный + байховый|чай + черный + в конв|чай + черный + конв|чай + черный + цейлонский|черная
198492,макароны 25 ракушки рифл,La Molisana,True,United Distributors Inc.,500г,,,Макароны La Molisana 25 Ракушки рифл. 500г,Бакалея|Макаронные изделия,макаронные|макароны
51612,кета кусок г/к,РОК-1,True,None,100г,,,Кета кусок г/к. 100г (РОК-1),"Рыба соленая и копченая|Рыба, морепродукты и икра|Рыбная гастрономия",кета|кета + кусок|кусочки
241701,шербет из черной смородины замороженный,О'КЕЙ,True,None,80г,,,Шербет ОКЕЙ из черной смородины замороженный 80г,"Молочные продукты, сыры, яйцо|Мороженое",шербет|шербет + замороженный
55832,филе цыпленка зам,Ярославский Бройлер,True,"ООО ""Ярославский Бройлер"", Россия",кг,,,Филе цыпленка зам. Ярославский Бройлер. кг,Мясо и птица|Птица замороженная,филе|филе + зам|филе + цыпленка|филе + цыпленка + зам|цыпленок|цыпленок + зам|цыпленок по|цыпленок-по|цыплята|цыплёнок
60220,кукуруза сладкая,Bonduelle,True,"ООО ""Кубанские консервы""",340г,,ж/б,Кукуруза сладкая Bonduelle 340г ж/б,Консервация|Кукуруза|Овощные консервы,кукуруза|кукуруза + сладкая|кукурузная|кукурузные
78676,кетчуп томатный,Слобода,True,"ОАО ""ЭФКО""",350г,,дой-пак,Кетчуп Слобода томатный 350г дой-пак,"Кетчупы|Растительные масла, соусы и приправы",кетчуп|кетчуп + томат|кетчуп + томатный|помидоры|помидоры + томаты|томат|томатная|томатно|томатное|томатные|томатный|томаты
288014,напиток сильногаз б/а,Sprite,True,"ООО""Кока-Кола ЭйчБиСи Евразия""",1.5л,,пэт,Напиток Спрайт сильногаз б/а 1.5л ПЭТ,"Лимонады, газированные напитки|Напитки, соки",напитки|напиток|напиток + б а|напиток + б а + сильногаз|напиток + б/а|напиток + б/а + сильногаз|напиток + сильногаз|напиток + сильногаз + б а|напиток + сильногаз + б/а
180819,конфитюр к мясу из мюлузского лука,Heritier,True,Belberry Preserves,180г,,ст/б,Конфитюр к мясу Heritier из Мюлузского лука 180г ст/б,"Растительные масла, соусы и приправы|Соусы",конфитюр|конфитюр + к мясу|конфитюр + мясу
121206,плавленый сырный продукт дружба,PL NoName,True,ИП Емелин Владимир Павлович,70г,,,Плавленый сырный продукт Дружба 70г PL FP,"Молочные продукты, сыры, яйцо|Плавленные, копченые, колбасные сыры|Сыры",плавленый|плавленый + продукт|плавленый + сырный|плавленый + сырный + продукт|продукт + плавленый|продукт + сырный|продукт + сырный + плавленый|сыр|сыр + плавленый|сырки|сырная|сырные|сырный|сырный + продукт|сырок
