name,type,no_brand,generic,synonyms,manufacturers,linked
"""A-One International Co., Ltd""",manufacturer,False,,,"""A-One International Co., Ltd""",фрутинг
"""BONDUELLE EUROPE LONG LIFERUE NICOLAS APPERT""",manufacturer,False,,,"""BONDUELLE EUROPE LONG LIFERUE NICOLAS APPERT""",bonduelle
"""Café do Brasil Spa""",manufacturer,False,,,"""Café do Brasil Spa""",kimbo
"""Café do Brasil Spa"", Италия",manufacturer,False,,,"""Café do Brasil Spa"", Италия",kimbo
"""Dr.Pepper company""",manufacturer,False,,,"""Dr.Pepper company""",dr.pepper
"""Famille Michaud Apiculteurs""",manufacturer,False,,,"""Famille Michaud Apiculteurs""",maile
"""Filli De Cecco di Filippo Fara San Martino S.p.A. Zona Ind.""",manufacturer,False,,,"""Filli De Cecco di Filippo Fara San Martino S.p.A. Zona Ind.""",de cecco
"""MARABOTTO GIACOMO & FIGLI SNC""",manufacturer,False,,,"""MARABOTTO GIACOMO & FIGLI SNC""",marabotto
"""Meurens & Rodrigues SPRL""",manufacturer,False,,,"""Meurens & Rodrigues SPRL""",martine meurens
"""Mlekara""",manufacturer,False,,,"""Mlekara""",фетакса
"""Mlekara"" AD, Сербия",manufacturer,False,,,"""Mlekara"" AD, Сербия",tm mlekara subotica
"""OLYMPIA-XENIA A.S.A.""",manufacturer,False,,,"""OLYMPIA-XENIA A.S.A.""",grand di oliva
"""Paul Reber Gmbh & Co. RG""",manufacturer,False,,,"""Paul Reber Gmbh & Co. RG""",mozart
"""Quality Bakers""",manufacturer,False,,,"""Quality Bakers""",quality bakers
"""RICHETTI S.p.A.""",manufacturer,False,,,"""RICHETTI S.p.A.""",полосатик
"""Rauch Trading AG""",manufacturer,False,,,"""Rauch Trading AG""",red bull
"""SIOURAS S.A.""",manufacturer,False,,,"""SIOURAS S.A.""",экомаркет
"""Tchibo Manufacturing Poland Sp.z.o.o."", Польша",manufacturer,False,,,"""Tchibo Manufacturing Poland Sp.z.o.o."", Польша",tchibo
"""UNION OF AGRICULTURAL COOPERATIVES OF LAKONIA, GREECE""",manufacturer,False,,,"""UNION OF AGRICULTURAL COOPERATIVES OF LAKONIA, GREECE""",экомаркет
"""USOVSKO FOOD a.s.""",manufacturer,False,,,"""USOVSKO FOOD a.s.""",fit
"""V&K Pineapple Canning Co.""",manufacturer,False,,,"""V&K Pineapple Canning Co.""",барко
"""Vatel - Companhia de Produtos Alimentares, S.A."", Португалия",manufacturer,False,,,"""Vatel - Companhia de Produtos Alimentares, S.A."", Португалия",esco
"""Villarsmaitrechocollatier s.a.''",manufacturer,False,,,"""Villarsmaitrechocollatier s.a.''",villars
"""WITPOL sp.z.o.o.""",manufacturer,False,,,"""WITPOL sp.z.o.o.""",blockbuster
"""XIAMEN YIXINSHENG IMPORT & EXPORT CO., LTD""",manufacturer,False,,,"""XIAMEN YIXINSHENG IMPORT & EXPORT CO., LTD""",барко
"""ZHANGZHOU LONGJIANG IMP. AND EXP. CORPORATION""",manufacturer,False,,,"""ZHANGZHOU LONGJIANG IMP. AND EXP. CORPORATION""",барко
"""esco - european salt company GmbH & Co. KG"", Германия",manufacturer,False,,,"""esco - european salt company GmbH & Co. KG"", Германия",esco
"""«Pak Gida Uretim ve Pazarlama A.S»""",manufacturer,False,,,"""«Pak Gida Uretim ve Pazarlama A.S»""",о'кей
"""Айс Вест""",manufacturer,False,,,"""Айс Вест""",морской котик
"""Вильбо С.А.""",manufacturer,False,,,"""Вильбо С.А.""",морской котик
"""Д-р Аугуст Оеткер Нарунгсмиттель КГ""",manufacturer,False,,,"""Д-р Аугуст Оеткер Нарунгсмиттель КГ""",ресторанте
"""Д-р Оеткер Декор Сп. З.о.о."", Польша",manufacturer,False,,,"""Д-р Оеткер Декор Сп. З.о.о."", Польша",dr.oetker
"""Д-р Оеткер Польска Сп.ц.о.о.""",manufacturer,False,,,"""Д-р Оеткер Польска Сп.ц.о.о.""",ресторанте
"""Карнобатплод""",manufacturer,False,,,"""Карнобатплод""",bulfoods
"""Карнобатплод"" АД",manufacturer,False,,,"""Карнобатплод"" АД",bulfoods
"""Лебедянский""",manufacturer,False,,,"""Лебедянский""",тонус|фруктовый  сад
"""Молкерай Хайнихен Фрайберг ГмбХ""",manufacturer,False,,,"""Молкерай Хайнихен Фрайберг ГмбХ""",grand dessert
"""Молочный комбинат ""Владимирский""",manufacturer,False,,,"""Молочный комбинат ""Владимирский""",простоквашино
"""ООО """"""""""Пир-ПАК""""""""""""""",manufacturer,False,,,"""ООО """"""""""Пир-ПАК""""""""""""""",комо
"""ФКПЧФ Бобимэкс т.м.""",manufacturer,False,,,"""ФКПЧФ Бобимэкс т.м.""",club
"""Фрукто Сливен""",manufacturer,False,,,"""ФРУКТО Сливен""|""Фрукто Сливен""",bulfoods|о'кей
"""Фрукто-Сливен""",manufacturer,False,,,"""Фрукто-Сливен""",о'кей
"""Фуджиан Ориентлэнд Фудз Ко., лтд""",manufacturer,False,,,"""Фуджиан Ориентлэнд Фудз Ко., лтд""",гермен
"""Юнайтед Боттлинг Групп"", Россия",manufacturer,False,,,"""Юнайтед Боттлинг Групп"", Россия",redgrass
101 Бакалея,marketing,False,,,"ОАО ""Русский продукт""","оао ""русский продукт"""
3 Glocken,marketing,False,,3glocken,Newlat GmbH,newlat gmbh
33 коровы,marketing,False,,,"ОАО""Вимм-Билль-Данн""","оао ""вимм-билль-данн"""
36 копеек,marketing,False,,,"ОАО ""Останкинский молочный комбинат""|ОАО""Останкинский молочный комбинат""","оао ""останкинский молочный комбинат"""
4 сезона,marketing,False,,4сезона,"ООО ""Хладокомбинат Западный""|ТОО ""Холодокомбынат Западный""","ооо ""хладокомбинат западный""|тоо ""холодокомбынат западный"""
4LIFE,marketing,False,,4 life,"Август Тоепфер & Ко., Германия|ООО ""Копэкер-Левашово""|ООО ""Копэкер-Левашово"", Россия","август тоепфер & ко., германия|ооо ""копэкер-левашово"", россия"
7 Days,marketing,False,,,"ООО ""Чипита""|ООО ""Чипита"", Россия","ооо ""чипита"""
7-UP,marketing,False,7-UP,севен ап,"ООО "" ПепсиКо Холдингс""|ООО ""ПепсиКо Холдингс""|ООО ""ПепсиКо Холдингс"", Россия","ооо ""пепсико холдингс"""
A. Darbo AG,manufacturer,False,,,A. Darbo AG,d'arbo|darbo
AAK (UK) Limited,manufacturer,False,,,AAK (UK) Limited,ic
ABPSAU,manufacturer,False,,,ABPSAU,itlv
ACEITES BORGES,manufacturer,False,,,ACEITES BORGES,borges|itlv
ACEITES YBARRA,manufacturer,False,,,ACEITES YBARRA,ybarra
"ACEITES YBARRA, S.A.",manufacturer,False,,,"ACEITES YBARRA, S.A.",ybarra|ибарра
"AD ""MLEKARA""",manufacturer,False,,,"AD ""MLEKARA""",tm mlekara subotica
ALPRO,marketing,False,,,Alpro Comm VA,alpro comm va
ANGRY BIRDS,marketing,False,,,"ООО ""Колос-Экспресс""|ООО «Ястро»","ооо ""колос-экспресс""|ооо ястро"
ARTUR sp.z o.o.,manufacturer,False,,,ARTUR sp.z o.o.,artur
AS Santa Maria,manufacturer,False,,,AS Santa Maria,santa-maria
"AS Santa Maria, Эстония",manufacturer,False,,,"AS Santa Maria, Эстония",santa-maria
AUGUST STORCK KG,manufacturer,False,,,AUGUST STORCK KG,mamba|merci|toffifee
Aceites Albert S.A.,manufacturer,False,,,Aceites Albert S.A.,dos olivas
Aceitunas Guadalquivir,manufacturer,False,,,Aceitunas Guadalquivir,itlv
Acetificio Varvello S.r.l.,manufacturer,False,,,Acetificio Varvello S.r.l.,varvello|о'кей
Acqua Panna,marketing,False,,,Sanpellegrino S.P.A.,sanpellegrino s.p.a.
Adrenaline Rush,marketing,False,,,"ООО ""Мегапак""|ООО ""ПепсиКо Холдингс""","ооо ""мегапак""|ооо ""пепсико холдингс"""
Alaeddin,marketing,False,,алладин,EKSIM GIDA SAN.,eksim gida san.
Alela,marketing,False,,алела|алурэ,"ООО ""Кондитерская фабрика ""Алела""","ооо ""кондитерская фабрика ""алела"""
Alfred Ritter GmbH & Co,manufacturer,False,,,Alfred Ritter GmbH & Co,ritter sport
Alfred Ritter GmbH & Co. KG,manufacturer,False,,,Alfred Ritter GmbH & Co. KG,ritter sport
Almette,marketing,False,,almetteс|альметте,"ООО ""ХОХЛАНД РУССЛАНД""","ооо ""хохланд руссланд"""
Almondy AB,manufacturer,False,,,Almondy AB,альмонди
Alois Dallmayr Kaffee oHG,manufacturer,False,,,Alois Dallmayr Kaffee oHG,dallmayr
"Alois Dallmayr Kaffee oHG, Германия",manufacturer,False,,,"Alois Dallmayr Kaffee oHG, Германия",даллмайер
